Species,Month,Year,Date,Jday,Tag,FL,STL,PCL,Wgt,Sex,Umb.Scar,Clasp.length,Clasp.calc,Gonad.stage,Run.sperm,MOD,Yolky.ova,Uter.stage,Maturity.Stage,Maternity.Stage,Emb,EmbTL,Embryo,Male.Emb,Female.Emb,Vertebrae,PCL.Vert,AgeAgree,Source
SSS,10,2008,19/09/2008,263,315061,91.9,1170,830,9.95,f,n,NA,NA,NA,NA,7,0,5,1,1,4,324.75,FALSE,3,1,FALSE,NA,5.833,
SSS,10,2008,19/09/2008,263,R0068,99,1220,NA,NA,f,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,NA,NA,
SSS,12,2008,18/11/2008,323,R0105,102,1230,NA,NA,f,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,NA,NA,
SSS,1,2011,2/12/2011,336,R0161,81,1025,730,5.55,m,n,75,y,3,NA,NA,NA,NA,1,NA,NA,NA,FALSE,NA,NA,TRUE,NA,NA,
SSS,2,2012,8/01/2012,8,192202,35.8,478,325,0.467,m,y,7,n,1,NA,NA,NA,NA,0,NA,NA,NA,FALSE,NA,NA,TRUE,NA,0,
SSS,12,2008,18/11/2008,323,R0108,95,1130,NA,NA,f,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,NA,NA,
SSS,12,2008,18/11/2008,323,R0110,101,1190,NA,NA,f,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,NA,NA,
SSS,12,2008,18/11/2008,323,R0109,105,1310,NA,NA,f,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,NA,NA,
SSS,12,2008,18/11/2008,323,R0103,86,1090,NA,NA,f,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,NA,NA,
SSS,11,2008,6/10/2008,280,146537,57.5,746,NA,NA,f,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,TRUE,NA,0.917,
SSS,11,2008,7/10/2008,281,146515,78.1,1120,NA,NA,f,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,TRUE,NA,3.917,
SSS,11,2008,7/10/2008,281,146513,57.2,753,NA,NA,f,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,TRUE,NA,0.917,
SSS,11,2008,7/10/2008,281,146517,74.5,967,NA,NA,f,n,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,FALSE,NA,NA,TRUE,NA,NA,
SSS,11,2008,6/10/2008,280,146519,56.7,745,NA,NA,m,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,TRUE,NA,0.917,
SSS,11,2008,6/10/2008,280,146518,68,882,NA,NA,m,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,TRUE,NA,1.917,
SSS,11,2008,6/10/2008,280,146521,79.6,1009,NA,NA,m,n,NA,y,NA,NA,NA,NA,NA,1,NA,NA,NA,FALSE,NA,NA,TRUE,NA,8.917,
SSS,11,2008,23/10/2008,297,296628,72,930,655,NA,f,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,TRUE,NA,2.917,
SSS,11,2008,23/10/2008,297,296647,90,1145,820,NA,f,NA,NA,NA,NA,NA,9,NA,5,1,1,3,380.3,FALSE,3,0,TRUE,NA,5.917,
SSS,10,2008,17/09/2008,261,146560,79,1010,750,6,m,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,TRUE,NA,NA,
SSS,11,2008,23/10/2008,297,296653,79,1010,720,NA,f,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,TRUE,NA,2.917,
SSS,12,2008,19/11/2008,324,R0112,87,1100,NA,NA,m,n,21,n,NA,NA,NA,NA,NA,0,NA,NA,NA,FALSE,NA,NA,FALSE,NA,NA,
SSS,11,2008,6/10/2008,280,146542,58.8,763,NA,NA,m,n,16,n,NA,NA,NA,NA,NA,0,NA,NA,NA,FALSE,NA,NA,TRUE,NA,0.917,
SSS,11,2008,6/10/2008,280,146543,57.5,751,NA,NA,m,n,15,n,NA,NA,NA,NA,NA,0,NA,NA,NA,FALSE,NA,NA,TRUE,NA,0.917,
SSS,11,2008,6/10/2008,280,146545,67.4,871,NA,NA,f,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,TRUE,NA,1.917,
SSS,11,2008,6/10/2008,280,146539,61,796,NA,NA,m,n,15,n,NA,NA,NA,NA,NA,0,NA,NA,NA,FALSE,NA,NA,TRUE,NA,0.917,
SSS,11,2008,6/10/2008,280,146538,54.2,708,NA,NA,f,n,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,FALSE,NA,NA,TRUE,NA,NA,
SSS,11,2008,6/10/2008,280,146540,83.3,1070,NA,NA,f,n,NA,NA,NA,NA,NA,NA,5,1,1,3,377,FALSE,1,2,TRUE,NA,4.917,
SSS,11,2008,6/10/2008,280,146546,75.3,977,NA,NA,f,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,TRUE,NA,2.917,
SSS,11,2008,6/10/2008,280,146544,69.5,900,NA,NA,m,n,50,n,NA,NA,NA,NA,NA,0,NA,NA,NA,FALSE,NA,NA,TRUE,NA,1.917,
SSS,11,2008,6/10/2008,280,187674,56,740,500,NA,f,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,TRUE,NA,0.917,
SSS,11,2008,23/10/2008,297,296648,78,1010,720,NA,m,NA,85,y,NA,NA,NA,NA,NA,1,NA,NA,NA,FALSE,NA,NA,TRUE,NA,2.917,
SSS,10,2007,22/09/2007,265,150608,71,912,644,NA,m,NA,28,n,NA,NA,NA,NA,NA,0,NA,NA,NA,FALSE,NA,NA,TRUE,NA,1.833,
SSS,10,2007,22/09/2007,265,150610,81.3,1035,736,NA,m,NA,83,y,NA,n,NA,NA,NA,1,NA,NA,NA,FALSE,NA,NA,TRUE,NA,4.833,
SSS,10,2007,26/09/2007,269,150586,64.1,839,580,NA,f,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,TRUE,NA,1.833,
SSS,10,2007,26/09/2007,269,150587,67.8,875,614,NA,m,n,27,n,NA,NA,NA,NA,NA,0,NA,NA,NA,FALSE,NA,NA,TRUE,NA,1.833,
SSS,10,2007,22/09/2007,265,150592,69.2,890,620,NA,m,NA,37,n,NA,NA,NA,NA,NA,0,NA,NA,NA,FALSE,NA,NA,TRUE,NA,1.833,
SSS,10,2007,22/09/2007,265,150596,78,987,704,NA,m,NA,80,y,NA,NA,NA,NA,NA,1,NA,NA,NA,FALSE,NA,NA,TRUE,NA,2.833,
SSS,10,2007,22/09/2007,265,150598,87.3,1097,800,NA,m,NA,75,y,NA,n,NA,NA,NA,1,NA,NA,NA,FALSE,NA,NA,TRUE,NA,4.833,
SSS,10,2007,22/09/2007,265,150601,80.4,1064,730,NA,f,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,TRUE,NA,3.833,
SSS,7,2007,22/09/2007,265,242131,84.5,1065,765,NA,m,n,90,y,NA,NA,NA,NA,NA,1,NA,NA,NA,FALSE,NA,NA,TRUE,NA,4.583,
SSS,10,2007,22/09/2007,265,150606,78.2,1003,710,NA,m,NA,72,y,NA,n,NA,NA,NA,1,NA,NA,NA,FALSE,NA,NA,TRUE,NA,3.833,
SSS,6,2008,2/05/2008,123,216156,47.7,615,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,TRUE,NA,0.5,
SSS,10,2007,NA,NA,234600,71.5,913,644,4,m,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,TRUE,NA,1.833,
SSS,10,2007,NA,NA,234602,76.8,995,700,5,m,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,TRUE,NA,2.833,
SSS,10,2007,NA,NA,234605,71.1,919,649,3.7,m,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,TRUE,NA,1.833,
SSS,10,2007,NA,NA,234606,71.6,928,645,4.05,m,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,TRUE,NA,1.833,
SSS,10,2007,NA,NA,234607,73.5,945,666,4,f,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,TRUE,NA,1.833,
SSS,10,2007,NA,NA,234608,73.5,943,658,4.45,m,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,TRUE,NA,2.833,
SSS,10,2007,NA,NA,150600,67,864,609,NA,m,NA,30,n,NA,n,NA,NA,NA,0,NA,NA,NA,FALSE,NA,NA,TRUE,NA,1.833,
SSS,10,2007,22/09/2007,265,150602,78.8,1010,718,NA,m,NA,73,y,NA,n,NA,NA,NA,1,NA,NA,NA,FALSE,NA,NA,TRUE,NA,2.833,
SSS,10,2007,NA,NA,234590,74.6,962,670,5.05,m,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,TRUE,NA,2.833,
SSS,10,2007,NA,NA,150603,70.4,905,635,NA,f,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,TRUE,NA,2.833,
SSS,10,2007,NA,NA,150604,81.5,1035,741,NA,m,NA,75,y,NA,n,NA,NA,NA,1,NA,NA,NA,FALSE,NA,NA,TRUE,NA,2.833,
SSS,10,2007,NA,NA,150605,67.2,874,608,NA,f,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,TRUE,NA,1.833,
SSS,10,2007,NA,NA,150607,73.4,923,642,NA,m,NA,69,p,NA,n,NA,NA,NA,0,NA,NA,NA,FALSE,NA,NA,TRUE,NA,1.833,
SSS,10,2007,NA,NA,150628,63,799,565,NA,f,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,TRUE,NA,NA,
SSS,10,2007,NA,NA,150636,NA,773,535,NA,m,NA,14,n,NA,NA,NA,NA,NA,0,NA,NA,NA,FALSE,NA,NA,TRUE,NA,NA,
SSS,10,2007,26/09/2007,269,150584,56,740,506,NA,f,n,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,FALSE,NA,NA,TRUE,NA,0.833,
SSS,10,2007,NA,NA,234589,73.4,937,661,4.1,m,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,TRUE,NA,1.833,
SSS,10,2007,22/09/2007,265,150612,77.1,990,697,NA,m,NA,74,y,NA,n,NA,NA,NA,1,NA,NA,NA,FALSE,NA,NA,TRUE,NA,2.833,
SSS,10,2007,NA,NA,234591,71.9,929,650,NA,m,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,TRUE,NA,1.833,
