Source,Species,Date,Month,Year,Tag,FL,STL,PCL,Wgt,Sex,Umb.Scar,Clasp.length,Clasp.calc,MOD,Yolky.ova,Uter.stage,Emb,EmbTL,Embryo,Sex.Ratio.M.F,PCL.Vert,Lat,Long,LatDeg,LatMin,LonDeg,LonMin,Depth,Depth 1,Depth 2,Reader1,Reader2,AgeAgree,Decision,Readability,Edge Analysis,MIR,MIR Note
NSW1,BTP,21/04/2010,4,2010,DW210410-9,155,182,140,,M,,90,p,,,,,,FALSE,,,,,29,27,153,27,49.3,49.3,,7,7,7,Agree,4,w,0.639375325,0
NSW1,BTP,24/03/2009,3,2009,DW240309-19,138,168,124,,F,,,,,,A,,,FALSE,,,,,29,12,153,29,34.7,34.7,,5,5,5,Agree,4,m,0.559719576,0
NSW1,BTP,24/03/2009,3,2009,DW240309-25,190,233,174,,M,,,n,,,,,,FALSE,,,,,29,12,153,29,34.7,34.7,,17,16,17,Pascal,3,o,1.191551603,No MIR
NSW1,BTP,2/06/2009,6,2009,EB020609-12,187,225,168,,M,,170,y,,,,,,FALSE,,,,,30,34,153,12,75,70,80,17,16,16,Pascal,3,o,1.191551603,No MIR
NSW1,BTP,2/06/2009,6,2009,EB020609-14,169,211,153,,M,,170,y,,,,,,FALSE,,,,,30,34,153,12,75,70,80,19,19,19,Agree,3,o,0.826268447,No MIR
NSW1,BTP,2/06/2009,6,2009,EB020609-15,197,233,180,,M,,195,y,,,,,,FALSE,,,,,30,34,153,12,75,70,80,20,19,20,Pascal,3,o,0.701646415,No MIR
NSW1,BTP,2/06/2009,6,2009,EB020609-16,175,213,158,,M,,,,,,,,,FALSE,,,,,30,34,153,12,75,70,80,15,14,15,Pascal,3,o,0.892957646,No MIR
NSW1,BTP,2/06/2009,6,2009,EB020609-5,159,198,144,,M,,145,y,,,,,,FALSE,,,,,30,34,153,12,75,70,80,7,7,7,Agree,3,w,0.597728779,0
NSW1,BTP,2/06/2009,6,2009,EB020609-6,193,233,175,,M,,171,y,,,,,,FALSE,,,,,30,34,153,12,75,70,80,15,15,15,Agree,3,o,0.819836049,No MIR
NSW1,BTP,2/06/2009,6,2009,EB020609-9,201,254,184,,M,,79,p,,,,,,FALSE,,,,,30,34,153,12,75,70,80,19,24,21,Agree,3,o,0.819836049,No MIR
NSW1,BTP,3/06/2009,6,2009,EB030609-16,,205,,,M,,180,y,,,,,,FALSE,,,,,30,40,153,10,80,80,,22,21,22,Agree,3,o,0.819836049,No MIR
NSW1,BTP,3/06/2009,6,2009,EN030609-11,170,208,154,,F,,,,,,A,,,FALSE,,,,,28,14,153,46,78.5,75,82,,,,Agree,3,o,0.819836049,No MIR
NSW1,BTP,26/06/2009,6,2009,EN260609-32,180,217,160,,F,,,,,,C,,,FALSE,,,,,28,10,153,46,77.5,75,80,8,8,8,Agree,4,w,0.76349127,0
NSW1,BTP,6/03/2009,3,2009,JG060309-1,188,234,172,,M,,185,y,,,,,,FALSE,,,,,29,6,153,31,45.7,45.7,,19,17,18,b/w,3,o,0.749570324,No MIR
